692	487	1921	1
2446	332	684	6
1940	1459	134	1
1665	427	2432	2
1049	42	2144	1
1349	472	1213	6
1385	225	1261	4
695	1329	1938	4
1696	1149	706	2
1806	254	1447	5
455	384	1342	4
1956	181	866	4
782	315	981	4
1538	990	1969	2
397	880	1807	2
1132	1841	2217	1
716	404	529	5
791	1034	575	1
17	993	854	5
1414	922	89	1
1864	1141	2248	5
1037	159	1370	6
1646	2427	2102	5
275	1671	1091	3
1229	1983	640	6
1051	1746	623	1
1513	1687	1458	3
43	2278	2406	5
796	1792	1515	4
1258	325	1656	2
2389	1695	1314	5
1503	2085	1842	6
1402	897	1885	3
575	1748	2210	2
2014	441	1084	6
636	1147	1579	4
807	2475	1985	2
2395	2059	1339	6
2364	596	157	6
2470	1392	189	4
1851	2414	1961	6
1355	1060	1885	6
1775	591	1856	1
1827	195	74	6
1165	1460	286	4
1974	1383	1041	6
2138	2262	2426	4
676	1633	960	4
597	2327	853	4
804	118	1212	3
425	924	433	2
292	910	1464	2
1092	1078	338	6
464	146	1685	2
2046	1308	2004	1
1436	155	2360	2
1579	262	1127	4
1388	2171	1263	5
1298	2004	851	4
2188	2491	2250	1
69	1135	1504	1
939	2456	2289	3
2123	2242	1899	4
2124	1145	1767	5
1545	496	595	5
523	28	1441	4
786	2402	902	6
1399	1713	1935	5
78	45	1883	2
680	2284	194	3
2191	1290	1198	5
22	545	2244	3
1619	171	391	6
1331	1758	1645	4
479	2019	365	1
1770	2032	2317	3
1775	749	95	2
321	1483	1384	3
2205	1768	2004	6
1310	778	828	2
1727	2137	618	2
366	1578	991	1
2072	1627	2491	3
2372	1469	799	6
682	399	1533	3
2450	259	53	1
282	2358	101	5
1507	1117	2500	3
241	1066	1644	4
2367	1738	1755	2
2147	2345	950	1
247	1648	87	1
514	99	1743	2
782	1906	1882	3
2467	48	510	3
813	55	2113	1
319	9	1124	3
1073	1178	1943	1
1156	804	1739	6
71	2222	1141	6
827	294	2257	3
1446	1776	1188	5
276	823	1124	3
77	2105	2362	1
312	264	1586	6
1621	2446	1592	6
373	1882	2246	2
2379	829	2427	5
803	1415	2354	1
467	2227	1261	3
1108	882	677	1
338	1330	49	3
1371	1983	542	6
928	2090	1337	3
470	809	382	6
705	1335	1436	1
2306	1150	1272	2
2109	1668	1688	3
404	8	1071	3
110	1030	1606	6
1883	1738	1316	2
784	498	2101	3
663	1390	2431	4
1140	2446	2154	4
263	35	683	4
1681	1048	2147	3
109	637	405	6
959	1778	2330	2
1085	1101	2456	1
1376	2244	1663	2
2151	2011	2335	4
2159	1707	2008	1
629	1382	1526	6
1644	35	1111	5
1239	2264	1686	4
66	776	1521	6
940	709	414	3
1346	1222	1312	4
212	312	1328	3
436	2041	1272	3
2109	181	1230	3
781	1287	270	5
640	565	645	5
1058	2272	810	6
166	226	33	1
1407	1409	2305	3
1831	2281	1203	4
841	251	1551	1
1109	1059	664	1
135	1866	1359	2
126	59	1660	5
1676	2280	624	3
511	2078	841	3
2103	2370	118	3
604	79	639	6
1901	205	1834	2
1472	1612	696	2
1958	143	1843	1
56	249	1201	3
881	2223	638	5
1471	1381	1108	3
1814	948	1514	4
555	106	730	4
2474	1233	1635	3
552	2355	1521	1
1908	676	2049	6
1666	2325	677	6
189	1879	2233	2
1972	1822	439	3
44	837	485	6
1454	1404	87	4
1500	1299	2377	5
1832	901	2326	5
1119	437	1886	3
2065	1806	1107	6
1018	959	1942	1
787	2105	856	5
836	266	2177	6
466	118	711	3
323	680	892	1
660	431	412	5
19	1271	881	5
1927	1097	404	5
435	369	2177	6
2275	376	1014	1
1306	1539	1988	4
2252	2130	1266	2
1272	823	1311	3
1142	1734	1342	5
1227	646	700	5
2193	275	2032	6
2417	2470	305	3
1991	2210	2028	2
1830	1261	954	4
1460	2132	437	3
128	861	2071	4
689	1023	1706	1
1544	2171	819	1
674	849	923	1
128	2138	914	3
1134	1510	1609	4
2242	1747	1789	6
1796	1393	533	6
1202	714	531	3
2370	1481	1907	6
893	1694	1814	6
2073	1912	295	3
1889	2403	441	5
101	2428	1669	3
1144	1203	659	2
220	473	340	2
2203	1136	170	1
1923	570	536	4
1844	990	1336	2
823	177	188	4
116	626	1466	6
239	161	2280	6
746	441	742	6
627	1474	2377	1
1897	2211	196	6
691	472	2107	4
2194	491	1140	1
1001	1967	1453	3
1339	1877	154	1
313	2449	223	5
2263	2172	222	3
2123	1174	569	4
2175	2346	1920	4
446	1696	2119	6
2474	1022	1661	4
1375	1404	1084	3
2016	1705	649	6
2139	407	793	6
1838	588	510	6
1883	1554	920	1
647	803	488	2
1846	2163	1033	6
609	1657	1041	1
1947	1576	2383	1
2375	1006	414	6
2258	542	1089	6
1794	1074	1312	6
1719	2459	957	3
718	2109	838	3
135	1436	812	2
1952	10	336	5
538	78	1702	1
1071	2238	1455	3
2387	2416	632	1
2004	1171	1580	3
