20	10	1	25	2
22	20	1	50	2
24	35	2	100	2
26	75	2	175	3
28	125	3	225	4
30	200	3	275	6
32	250	4	400	6
34	300	4	600	6
36	400	5	550	8
38	500	5	400	9
40	600	6	300	11

30	100	1	100	2
32	200	1	200	5
35	300	1	350	8
38	400	2	450	10
40	500	2	600	12
50	600	2	700	12
55	700	3	750	14
60	800	4	900	16
65	1000	4	700	16
70	2000	5	600	16
75	4000	6	500	18

10	50	2	200	4
18	80	2	400	4
25	100	3	500	6
33	175	3	700	6
37	250	4	850	8
40	400	4	700	9
45	500	5	975	10
50	600	5	1000	11
55	800	6	1500	13
58	900	6	2750	14
60	1000	7	3500	16

40	500	1	350	8
45	750	1	400	8
48	1000	2	500	10
50	1500	2	650	12
55	2500	3	800	12
60	2750	3	900	14
70	3500	4	1000	16
80	4000	5	1200	16
90	5000	5	1000	18
100	7600	6	800	20
100	8900	7	400	20

100	50	10	2000	1
5	50	1	50	2
10	75	2	100	4
15	100	2	210	5
20	150	3	300	6
25	300	3	368	7
75	700	4	476	8
35	1700	4	634	8
40	3000	5	565	9
45	4500	5	450	10
50	6000	6	500	12

35	500	1	250	4
45	550	1	220	6
55	400	2	200	8
60	900	2	250	9
65	500	3	850	10
60	2100	3	750	12
70	1200	4	700	13
75	1600	4	650	14
77	1800	5	600	16
80	2400	5	550	17
70	3000	6	500	18

100	1750	1	500	4
80	1000	1	700	4
75	2050	2	750	4
75	2000	2	800	5
60	2750	3	850	6
58	2950	3	900	7
50	3100	4	1100	9
45	3350	4	1200	10
40	3600	5	1500	12
40	3800	5	1200	13
40	4000	6	1000	14

25	55	1	50	4
30	260	1	150	6
32	580	2	250	8
35	960	2	350	8
47	1000	2	450	10
55	2110	3	550	12
65	3130	3	650	12
75	4350	4	750	14
85	5137	4	650	16
90	7150	5	550	18
100	8000	9	650	20

20	100	1	350	2
25	200	1	400	2
35	350	2	450	2
100	750	2	500	3
45	1250	3	550	4
55	1500	3	575	6
65	1750	4	600	6
55	2000	4	650	6
45	2500	6	670	8
35	3000	6	700	9
25	3500	7	750	11

100	500	1	5000	3
95	550	1	3220	10
90	400	1	1200	8
85	900	2	950	9
80	500	2	850	10
75	2100	3	750	12
70	1200	3	700	13
65	1600	3	650	14
60	1800	4	600	16
55	2400	4	550	17
100	3000	4	500	9

20	10	1	25	2
22	20	1	50	2
24	35	2	100	2
26	75	2	175	3
28	125	3	225	4
30	200	3	275	6
32	250	4	400	6
34	300	4	600	6
36	400	5	550	8
38	500	5	400	9
40	600	6	300	11

